epoch,train_loss,train_acc,val_loss,val_acc,lr,seconds
1,0.220363,0.948300,0.165413,0.977200,0.00027990,438.87
2,0.163231,0.978433,0.152867,0.983500,0.00022500,308.40
3,0.147773,0.985744,0.146950,0.985600,0.00015000,309.22
4,0.137857,0.990989,0.145256,0.986700,0.00007500,309.07
5,0.132793,0.993256,0.144804,0.986100,0.00002010,309.08
6,0.129068,0.995111,0.144968,0.986300,0.00000000,309.47
