epoch,train_loss,train_acc,val_loss,val_acc,lr,seconds
1,0.237210,0.938411,0.175834,0.972100,0.00028858,418.34
2,0.174369,0.972800,0.160331,0.980500,0.00025607,292.43
3,0.155061,0.982267,0.150530,0.984000,0.00020740,298.76
4,0.145065,0.987389,0.146899,0.985100,0.00015000,342.86
5,0.138592,0.990133,0.146654,0.985600,0.00009260,342.01
6,0.133055,0.992944,0.146544,0.986100,0.00004393,338.20
7,0.129785,0.994744,0.147860,0.985500,0.00001142,329.96
8,0.128049,0.995456,0.148059,0.986000,0.00000000,330.31
