epoch,train_loss,train_acc,val_loss,val_acc,lr,seconds
1,0.223917,0.945656,0.167461,0.975400,0.00027990,461.75
2,0.164600,0.977622,0.159316,0.980600,0.00022500,315.06
3,0.147273,0.986611,0.152750,0.983000,0.00015000,309.27
4,0.138825,0.990844,0.151554,0.984000,0.00007500,309.10
5,0.132459,0.993422,0.150767,0.984500,0.00002010,310.60
6,0.129615,0.994889,0.150750,0.985100,0.00000000,309.00
